1,ผัก,,VEGETABLES,,999,0000-00-00,0000-00-00
2,ผลไม้,,FRUITS,,999,0000-00-00,0000-00-00
3,พืชไร่,,PLANTS,,999,0000-00-00,0000-00-00
4,ของแห้ง,,DRIED FOOD,,999,0000-00-00,0000-00-00
5,ของดอง,,PRESERVED,,999,0000-00-00,0000-00-00
6,ของชำ,,GROCERY,,999,0000-00-00,0000-00-00
7,ของสด,,FRESH FOOD,,999,0000-00-00,0000-00-00
8,ดอกไม้,,FLOWERS,,999,0000-00-00,0000-00-00
9,สินค้าแปรรูป,,FOOD PROCESSED,,999,0000-00-00,0000-00-00
10,สินค้าทั่วไป,,GENERAL PRODUCTS,,999,0000-00-00,0000-00-00
11,สินค้าอื่นๆ,,OTHER,,999,0000-00-00,0000-00-00